datestart,ADBE,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BMC,BRCM,CA,CELG,CERN,CHKP,CHRW,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DELL,DLTR,DTV,EA,EBAY,ESRX,EXPE,FAST,FFIV,FISV,FLEX,FLIR,FSLR,GILD,GMCR,GRMN,HSIC,ILMN,INFY,INTU,ISRG,JOY,KLAC,LIFE,LINTA,LLTC,LRCX,MAT,MCHP,MRVL,MU,MXIM,MYL,NFLX,NIHD,NTAP,NVDA,NWSA,ORCL,PAYX,PCAR,PCLN,QCOM,ROST,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TEVA,URBN,VMED,VOD,VRSN,VRTX,WCRX,WFM,WYNN,XLNX,XRAY,YHOO
17-Sep-12,4532,4,415,127,1328,14,8,26,86587,5,295,0,914,6,41,51,3,17,166,1,6,2743,2998,2633,1,85,503,16910,599,1425,444,26099,25,225,53,8,12,11,12,72,29,79,1598,8,180,228,260,1,9,0,48,28,2,1,353,4,3,15,4,129,15019,0,152,881,214,3137,27,38,103,340,19,47944,12,0,24,1123,2510,34,1,532,2,1624,456,4064,22,6,3,1946,57,77,1,37304
19-Sep-12,6354,3,368,156,1736,6,37,18,87340,8,675,0,470,12,15,60,2,54,166,5,2,3308,2373,3248,14,89,948,19172,433,2791,311,30646,36,1153,19,18,39,49,4,72,14,44,1837,17,326,149,302,5,8,0,39,36,2,2,378,3,4,188,5,50,12715,1,304,1063,688,3157,18,29,151,319,12,87548,13,0,54,1134,2723,11,10,420,5,1602,388,3547,21,17,5,1707,14,23,4,38209
24-Sep-12,11133,15,424,50,1399,18,10,19,79294,20,249,0,474,30,14,41,2,22,308,3,2,2849,2346,2530,2,73,818,18056,485,2524,455,27723,20,301,26,30,42,17,5,46,8,79,1922,24,154,245,249,3,20,0,23,18,2,17,458,11,0,42,3,69,20363,1,197,1117,393,3592,213,37,128,269,35,50793,15,0,44,1012,2300,16,14,421,1,1280,405,4120,8,3,2,1566,28,22,4,35950
5-Oct-12,4950,10,468,133,1992,6,24,31,87736,1,472,0,252,9,8,151,2,29,441,6,2,1997,4073,2737,0,102,619,16117,494,2560,357,26239,32,1949,20,9,28,29,3,238,5,88,1262,14,160,129,306,8,14,0,20,17,5,2,304,3,0,21,2,60,15221,2,208,696,56,4399,19,15,173,459,13,50626,16,0,33,787,7394,20,1,353,5,1363,396,2996,42,3,1,1849,3,19,6,31714
8-Oct-12,6926,27,427,84,1495,17,13,26,74708,13,1179,0,332,6,28,88,4,22,273,4,3,1797,2467,5004,4,78,531,18938,386,1338,250,27347,64,477,37,12,25,13,3,345,5,110,2046,17,179,165,222,0,2,0,103,10,3,6,429,2,0,5,15,64,19759,1,175,634,56,3902,8,15,85,315,14,62058,12,0,36,964,2512,12,0,344,2,1421,406,3804,42,21,3,1712,4,45,9,33638
10-Oct-12,4458,5,455,286,1757,33,3,39,74055,1,448,0,216,41,27,41,2,40,237,1,4,2248,2947,3566,5,97,489,16548,468,1859,238,37373,51,1312,43,23,39,28,2,129,1,87,1212,9,148,172,297,5,3,0,22,32,1,0,429,0,1,7,5,84,18968,1,513,1261,73,3550,45,24,78,284,12,54683,29,0,167,762,2143,82,1,550,11,1397,501,3866,23,7,1,1612,68,25,17,33997
17-Oct-12,4403,18,487,143,1625,13,10,52,83255,142,579,0,243,13,4,55,3,6,126,196,11,2206,2506,4107,0,81,1557,13915,480,2182,172,29541,15,1174,19,22,52,20,1,190,2,308,1278,2,175,200,186,37,1,0,11,2,13,93,768,3,1,6,3,49,17808,7,278,1240,204,5948,21,16,100,270,10,53628,40,0,41,576,4459,17,9,388,4,2140,806,3441,16,6,2,1748,8,176,4,34302
24-Oct-12,4895,25,347,253,2278,60,10,94,85352,22,445,0,175,13,22,775,15,42,233,5,7,2155,2357,3433,3,122,570,17831,553,1933,523,27979,26,1261,21,139,32,45,5,62,45,173,1129,9,194,163,231,3,7,0,38,22,3,1,558,3,1,2,2,67,16330,2,190,828,49,3242,58,21,78,629,3,53241,32,0,115,602,4955,32,16,616,1,1255,349,4290,27,9,2,1865,198,30,8,37119
29-Oct-12,4198,20,339,61,1603,8,6,38,90106,48,968,0,769,2,6,72,7,61,155,6,4,4270,2803,2880,1,77,365,28991,535,3928,255,27178,76,356,11,13,66,23,4,63,6,113,1445,4,191,132,242,5,3,0,20,8,1,0,494,13,2,9,5,22,42906,0,157,1313,370,2971,30,30,63,260,4,64391,30,0,39,930,1984,13,9,322,1,1910,356,4817,51,6,0,1828,6,24,4,36019
16-Nov-12,4718,24,411,117,1240,10,64,22,76493,3,2279,0,294,3,5,55,0,13,146,2,4,1934,2721,2829,4,86,335,22879,517,1831,261,33276,41,399,15,44,11,12,26,25,26,120,1759,11,1139,149,654,5,50,0,14,2,1,2,391,8,24,3,6,40,13513,1,287,911,178,3087,14,15,116,980,18,62266,111,0,45,668,3159,5,7,189,1,1399,378,5511,18,15,1,1227,4,40,9,36202
